               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.020612,           0.0074439,          0.00055714,             0.96747,             0.89448,             0.96037,             0.64996,            0.019814,           0.0038064,           0.0017819,            0.003763,            0.003763,            0.003763
                  65,            0.020601,           0.0073541,          0.00040529,             0.95987,              0.9257,             0.96463,             0.65452,            0.020211,           0.0039392,           0.0015197,            0.003664,            0.003664,            0.003664
                  66,            0.020627,           0.0072088,          0.00052166,             0.95683,              0.9132,             0.96663,             0.64792,            0.019988,            0.003885,           0.0016549,            0.003565,            0.003565,            0.003565
                  67,            0.020176,           0.0073256,           0.0004532,             0.94655,             0.92973,             0.96873,             0.65146,            0.020108,           0.0039112,           0.0015208,            0.003466,            0.003466,            0.003466
                  68,            0.020156,           0.0074691,          0.00049935,             0.93506,             0.91682,             0.96291,             0.65565,            0.020115,            0.003874,           0.0018954,            0.003367,            0.003367,            0.003367
                  69,            0.019958,           0.0069518,          0.00040191,             0.95111,              0.8952,             0.95973,             0.65387,            0.020115,           0.0038379,           0.0019964,            0.003268,            0.003268,            0.003268
                  70,             0.02003,           0.0071381,          0.00039792,             0.96424,             0.92624,             0.96431,             0.63708,            0.020014,           0.0038346,           0.0016589,            0.003169,            0.003169,            0.003169
                  71,            0.019662,           0.0070721,          0.00038667,              0.9257,             0.90753,             0.95942,             0.64923,            0.020324,           0.0038374,           0.0023743,             0.00307,             0.00307,             0.00307
                  72,            0.019611,           0.0070376,          0.00039574,             0.94614,             0.94018,             0.96376,             0.64169,            0.020066,           0.0038788,           0.0017814,            0.002971,            0.002971,            0.002971
                  73,            0.020008,           0.0072696,          0.00033348,             0.94202,             0.94738,             0.96686,             0.63709,            0.020266,           0.0039283,           0.0013407,            0.002872,            0.002872,            0.002872
                  74,            0.019337,           0.0069871,          0.00031856,             0.96691,             0.91168,              0.9624,             0.65695,            0.019835,           0.0039914,           0.0016866,            0.002773,            0.002773,            0.002773
